,1,2,3,4,5
atr5_pct,0.003022813308646009,0.010956712374542966,-0.007933279455185925,-0.02216594116930525,-0.026185512796589875
atr14_pct,-0.007856908384605451,-0.006997193531144054,-0.011246480923758006,-0.017581162611157053,-0.01666137568334473
hv5,-0.014031425442393266,-0.005890052184571525,-0.01583802600480347,-0.01669566598740891,-0.014880521748962117
hv10,0.004738656585979828,0.016665072531426156,0.01324293314320717,0.01518382381467119,0.019575007588045878
parkinson5,-0.008922892536094231,-0.005977350240066579,-0.027501730713683767,-0.04022293604731374,-0.039645934647252704
vol_contraction,-0.0018733695147710363,-0.0025777343221826646,-0.022796827444351627,-0.03507035066106936,-0.04398286665928003
vol_ratio_5,-0.008332397872989014,-0.002390318846850932,-0.011486021073917973,-0.024046292634817373,-0.007977393628424215
vol_ratio_20,-0.014876658923266652,-0.010202956376399968,-0.018490219382936563,-0.029210529522522538,-0.011372460132759268
vol_surge,-0.017856229320648793,-0.00193450903767477,-0.00842736616129149,-0.022242828680300416,-0.013115442581550616
up_vol_ratio,-0.024333712609517496,-0.044666163838369695,-0.05281734832891365,-0.061975599978457904,-0.06501592049016575
obv_slope_3,-0.02139682735548543,-0.015600795932320768,-0.015173821570564029,-0.013427752263455273,-0.015688750371929946
obv_slope_5,-0.016814138724205313,-0.015941793260124102,-0.025309955749802174,-0.019783534606834775,-0.02636095822135577
mfi_5,-0.0447724877347863,-0.06686200945405356,-0.07776883786679688,-0.08307494056622551,-0.08704329861583783
mfi_14,-0.0656953128575834,-0.0960102485858605,-0.11905724899093112,-0.132936419782803,-0.14455783813943104
cmf_10,-0.0935613380754961,-0.1169367871394317,-0.13922804395209487,-0.15722989954591482,-0.1706687561817915
vwap_dev_5,-0.03932897592545899,-0.07724402410876355,-0.09304188977108573,-0.0997780854838626,-0.09859318788201205
vwap_dev_10,-0.06185994431739918,-0.0963762487736827,-0.11471652307016776,-0.1247566695788784,-0.1281406228459823
force_idx_1_z,0.03661429436645848,0.0247274565601263,0.013305116493909258,0.005791234092544175,0.013207346667337859
force_idx_3_z,-0.01565672775803913,-0.04213882160536615,-0.06324820458223286,-0.07779196474830828,-0.07866742470340897
ret1_z5,0.03441223241393739,0.021786221651642405,-0.0024808644326611757,-0.01574947094825414,-0.014084775204840465
ret3_z10,-0.0063631121141628,-0.03735181151984235,-0.04947101250519062,-0.04693033123706706,-0.03846828003033398
ret5_z20,-0.03623136129676815,-0.05464537150177884,-0.05545596871915757,-0.06067043151135917,-0.06284746571849267
pct_52w_high,-0.08646655749393793,-0.12698731274630431,-0.1548761788941245,-0.17359093423139513,-0.18553469817985077
pct_10d_high,-0.054054450793540536,-0.09286198243705032,-0.10951236311727679,-0.1158547465903984,-0.11660877053552217
pct_5d_high,-0.02837640193454248,-0.05652662790447752,-0.060814730869773063,-0.0611827255706713,-0.06042258542248916
pct_5d_low,-0.049907185832692255,-0.08162463878818026,-0.10885814272174146,-0.12573983864286645,-0.12498273932461575
macd_fast_hist,-0.03904365108815728,-0.06104158421198438,-0.06882549602008979,-0.07163158360509082,-0.07001443754251964
macd_fast_cross,-0.0390953743348856,-0.05475385536328899,-0.061844979025029674,-0.06101667119791103,-0.0562307317699528
acf1_ret_5,-0.011490616298615716,-0.00687799712662183,-0.008005918739808935,0.008436720662816132,0.021068003339508187
ret1_vs_ret2,0.01495452572540249,0.0022511782040379492,-0.009220308467035927,-0.02183075195055092,-0.027298181618959704
