,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
stoch_kd_cross,0.017119398704449448,-0.012002277460943659,-0.026148280712042726,-0.030238331211921925,-0.006162668086325489,0.005344199609492825,0.0016028766151349263,-0.013853629097955577,-0.01951044657066356,-0.022334323001933092,-0.012621494392021416,-0.01046532960754205,-0.034642585896423085,-0.04965564436440136,-0.053878493284335485,-0.053148252726349175,-0.06599454884308723,-0.0720270845488419,-0.06800097512711671,-0.06619400334570344,-0.06208474465912237,-0.06325281100711455,-0.06522488932867143,-0.06129671350003399,-0.06264127021220979,-0.05711012021841864,-0.045360565476876426,-0.05288184958177756,-0.05103298339697416,-0.031186440187565556
williams_r,-0.07949043318134413,-0.12270379960382272,-0.1472768857584367,-0.16337730876326578,-0.17221180557945218,-0.1872297490432095,-0.20618390239522277,-0.2220915448232201,-0.23315368006821044,-0.23961433522711373,-0.2485528615090111,-0.25978593842793024,-0.2772694924632159,-0.28658754924207963,-0.28910388276059285,-0.28648538376893157,-0.2869018583283996,-0.2805860726032707,-0.26703848511868006,-0.2549447981851292,-0.2436305452286465,-0.23664378773629527,-0.2306533701858296,-0.22570421440938762,-0.2176817439519111,-0.2093173841236895,-0.20031521427055968,-0.1956949677666453,-0.192224133258672,-0.18633486884724929
cci_20,-0.10587626026651505,-0.14863890750060513,-0.16979638774584843,-0.1841516658942391,-0.1960705082241521,-0.20906636025139957,-0.22407657152689464,-0.23834041322171495,-0.2511350298018675,-0.2594059276218516,-0.2714918205549231,-0.28640007599632183,-0.300071467476241,-0.3031646768431772,-0.3008824694898083,-0.29552629719046625,-0.2911700348263089,-0.2827077769196362,-0.27145057668956596,-0.26394179972803306,-0.2595335714665157,-0.25686116130405146,-0.2547614830635487,-0.25257396758577,-0.2447738274323655,-0.2355144240586805,-0.2281540530668851,-0.22167315388350592,-0.22045839165464554,-0.21983612306063735
bb_pct,-0.0967117970439281,-0.14410926247687889,-0.16801858948127144,-0.18529327441725085,-0.19514680535411894,-0.20510133355022336,-0.21958191992400955,-0.23525218931609798,-0.24864931188658332,-0.25716929744934497,-0.26741960937423415,-0.2809533813899404,-0.29787430749817073,-0.3037016996880134,-0.3030183548115392,-0.2968481896088433,-0.2943111679693203,-0.2872307346393005,-0.2743254348010102,-0.26721017639686756,-0.2625268065755437,-0.259610337709221,-0.25719076056664397,-0.2543391578878031,-0.2472143622407937,-0.2390161527147114,-0.228137951767968,-0.2216850645281021,-0.22018130469601224,-0.2174970108120685
bb_width,0.001090043704108962,0.01330958771767958,0.01712422639306351,0.022016530370526373,0.029448417839314487,0.03796405843940439,0.05126842668599799,0.05947670530350107,0.062419780709951966,0.06601100130942801,0.0736225994313871,0.08183721526488234,0.08912514133009705,0.09498271277024384,0.1013538175779646,0.10476532608814766,0.1058424037172813,0.10813726449537708,0.11327855039465912,0.1195341312122614,0.12474170291982721,0.1328528577425444,0.14136472154294158,0.14823143256674218,0.15179432285137834,0.154348570832393,0.15372088828988043,0.15186362771225512,0.1493806996202707,0.14511781631635673
atr_pct,-0.020506509902441863,-0.017208483782590052,-0.024954628356764524,-0.030570055833008557,-0.035638100110662194,-0.036112325555869004,-0.0251045231001278,-0.013995454578498259,-0.004758972523837691,0.005391128421792571,0.014441136443676637,0.021974650316483952,0.02978069952117194,0.03644856575435118,0.04583717369253023,0.05497393040607092,0.06509586331866957,0.07068673950614487,0.07451570639756643,0.07492151193503473,0.07554435278352267,0.0769358908039367,0.0778444917327997,0.07327082511937888,0.06985923452008154,0.07067409062992977,0.07166726294307052,0.07323679415992017,0.07074462102120396,0.06532825176636957
hv_20,0.00791223244034823,0.018666339711138298,0.02185489585191728,0.028817014812457707,0.03715393155138938,0.045719069496520534,0.06188421096922234,0.07620668088761302,0.09245840945602186,0.10221856533881815,0.10903613088867087,0.11650732011469077,0.11915160575351812,0.11779720653705895,0.12404000379247071,0.12949157126150193,0.13391061671747026,0.13959171310578522,0.14458300489419898,0.14817295849182793,0.15138001457684913,0.1547933444590998,0.15757227095744433,0.15517731129626924,0.14876955606544578,0.1428302690080764,0.13942731829985974,0.1341656828373627,0.12830206284204,0.12526617987953237
vol_ratio,-0.013566192093439882,-0.011170003699767391,-0.02417010653564139,-0.034488737496753574,-0.013029869984103399,-0.026458188483774576,-0.030743921881344182,-0.020720119140947856,-0.019728202710849303,-0.019179796935386278,-0.028294220687819664,-0.016562315867942722,0.0030714681244416535,-0.011370665103212338,-0.0038741672594802957,0.0039164606703207365,0.005658588576458913,0.008890360457750024,0.0027816158247668103,-0.005585337132201288,-0.01618218863813952,-0.02885523441030719,-0.015246496678939908,-0.0021868866172011516,-0.004652687985683753,0.008194816795752171,0.00026438230147818396,0.004365027027337665,-0.002314524382511025,-0.0028481694206805106
obv_slope,-0.04188842384515637,-0.0591089481485567,-0.0688555662842256,-0.0729311087809634,-0.08346769570851952,-0.09983244580152519,-0.11286180158036153,-0.12589750471055772,-0.1430321896784073,-0.1599891164966719,-0.17384262844443793,-0.18398112479020107,-0.1917801109102633,-0.19631098813826323,-0.19927594172583746,-0.19919092486362058,-0.2035477395050243,-0.20456406621636566,-0.1987328113852504,-0.19188019121246927,-0.19099238522217712,-0.18728128990236484,-0.17801976089321156,-0.1709722593408827,-0.16126419189226798,-0.1489388608918487,-0.13645769619895656,-0.12647691278925483,-0.12394233931005941,-0.1252173130602346
mfi_14,-0.07554325980733388,-0.10874976635019702,-0.13460072628014608,-0.15221737839058555,-0.16757890064707429,-0.1745041758293908,-0.17969495751964482,-0.18598564414050955,-0.19470205481502484,-0.19927139083035988,-0.20495477037852372,-0.21314622400948116,-0.22143987770062754,-0.22317693074551556,-0.22398699852031076,-0.22380081544680108,-0.2210126152055516,-0.20967237911753098,-0.19749407103648964,-0.18942015004685087,-0.18796434802041426,-0.18411989826922212,-0.17978720455620129,-0.17908910415710155,-0.17282786941507294,-0.1642485417230275,-0.15813898289423797,-0.1534028571654135,-0.1533716863462473,-0.15316032749891897
cmf_20,-0.09641379118859394,-0.12748070310729734,-0.15743325896741317,-0.1761118970808294,-0.18651822750549937,-0.20018296640815836,-0.21547343709732728,-0.22545106647732824,-0.23440502627908483,-0.2385439708486233,-0.2385666834853471,-0.2382027678954041,-0.24140238230955777,-0.23757158094126368,-0.23401114611398782,-0.22848737198773442,-0.2244629053758444,-0.22197123254656767,-0.21408439379725003,-0.21038349935465467,-0.2129226317565574,-0.21302908833790193,-0.2161996337804929,-0.21694507841354554,-0.21272816862309096,-0.2057303543785801,-0.20231201019608228,-0.19927015825756303,-0.19819687006814204,-0.1966505267611171
force_idx_13,-0.09547551244576576,-0.14205470176126003,-0.16923732702947386,-0.1899263341424571,-0.20055014080583014,-0.21554179199169637,-0.22811216519959232,-0.24501024778823022,-0.26250906918540656,-0.27105482566540107,-0.28368715527153326,-0.2969414130852052,-0.31698157279499123,-0.3278392503979072,-0.3320854855296772,-0.3295828661515856,-0.3285241920126943,-0.3236044462867622,-0.3155373585832806,-0.3134069549149803,-0.30983846959872546,-0.30391057042990854,-0.2965390174977245,-0.2882866071136282,-0.27901878606514746,-0.2641882582960873,-0.2503042767241018,-0.2408282881042457,-0.23584867613179117,-0.22883094176335986
adx_14,0.006882087221613049,0.014482119653691438,0.021397192531317954,0.03247258412550564,0.03623407321179661,0.03965018957736944,0.04661025361969875,0.05216547475045058,0.056974398100708604,0.06035824459453249,0.06642176894294932,0.0717485389400243,0.07839341374925703,0.08423922836706171,0.08896461620607689,0.09281044280628319,0.09536109676107395,0.10214982959793804,0.1073234856538091,0.10781338638524245,0.10775561866166519,0.10612715900485117,0.10397436379100429,0.1032772060758695,0.09914715367493201,0.09515195286706318,0.09174732244871409,0.09037775697575606,0.09165161682515882,0.09066850697933627
trix_18,-0.056940028555702904,-0.08272046550670421,-0.10414790644966515,-0.11155462695003167,-0.11587443536176563,-0.11963940434920776,-0.12232233214190646,-0.12031667870785354,-0.1198164069262466,-0.1160205280258556,-0.11086323567790753,-0.10886201087829876,-0.10736958029364474,-0.10652998754659561,-0.10417788919641031,-0.10287804208579257,-0.10371371982549728,-0.104920140022647,-0.10955932746552191,-0.11306074794211471,-0.11723228229641017,-0.12230003282103194,-0.12935545970250384,-0.13718578996883357,-0.14124000327390845,-0.14306091919667036,-0.14540718772835745,-0.1500159125640551,-0.15507709969581737,-0.15489665909369435
