entry_time,exit_time,direction,entry,exit,sl,target,pnl,result,strategy
2026-03-23 09:49:00+05:30,2026-03-23 09:57:00+05:30,SHORT,52042.1,51902.27,52112.02,51902.27,139.83,TP,BankNifty|1m|S06_ORB
2026-03-23 09:59:00+05:30,2026-03-23 10:21:00+05:30,SHORT,51906.7,51766.11,51976.99,51766.11,140.59,TP,BankNifty|1m|S06_ORB
2026-03-23 10:23:00+05:30,2026-03-23 10:36:00+05:30,SHORT,51747.4,51800.29,51800.29,51641.62,-52.89,SL,BankNifty|1m|S06_ORB
2026-03-23 10:38:00+05:30,2026-03-23 10:50:00+05:30,SHORT,51829.5,51715.33,51886.59,51715.33,114.17,TP,BankNifty|1m|S06_ORB
2026-03-23 10:52:00+05:30,2026-03-23 11:07:00+05:30,SHORT,51655.9,51711.89,51711.89,51543.92,-55.99,SL,BankNifty|1m|S06_ORB
2026-03-23 11:09:00+05:30,2026-03-23 11:32:00+05:30,SHORT,51746.85,51814.1,51814.1,51612.36,-67.25,SL,BankNifty|1m|S06_ORB
2026-03-23 11:34:00+05:30,2026-03-23 11:40:00+05:30,SHORT,51689.0,51754.22,51754.22,51558.56,-65.22,SL,BankNifty|1m|S06_ORB
2026-03-23 11:42:00+05:30,2026-03-23 12:24:00+05:30,SHORT,51736.0,51620.27,51793.86,51620.27,115.73,TP,BankNifty|1m|S06_ORB
2026-03-23 12:26:00+05:30,2026-03-23 12:28:00+05:30,SHORT,51613.35,51665.22,51665.22,51509.62,-51.87,SL,BankNifty|1m|S06_ORB
2026-03-23 12:30:00+05:30,2026-03-23 12:37:00+05:30,SHORT,51714.6,51770.96,51770.96,51601.89,-56.36,SL,BankNifty|1m|S06_ORB
2026-03-23 12:39:00+05:30,2026-03-23 12:54:00+05:30,SHORT,51767.8,51644.51,51829.45,51644.51,123.29,TP,BankNifty|1m|S06_ORB
2026-03-23 12:56:00+05:30,2026-03-23 13:09:00+05:30,SHORT,51618.05,51683.7,51683.7,51486.76,-65.65,SL,BankNifty|1m|S06_ORB
2026-03-23 13:11:00+05:30,2026-03-23 13:15:00+05:30,SHORT,51616.85,51670.53,51670.53,51509.49,-53.68,SL,BankNifty|1m|S06_ORB
2026-03-23 13:17:00+05:30,2026-03-23 13:27:00+05:30,SHORT,51636.45,51693.96,51693.96,51521.42,-57.51,SL,BankNifty|1m|S06_ORB
2026-03-23 13:29:00+05:30,2026-03-23 13:30:00+05:30,SHORT,51674.7,51734.86,51734.86,51554.38,-60.16,SL,BankNifty|1m|S06_ORB
2026-03-23 13:32:00+05:30,2026-03-23 13:36:00+05:30,SHORT,51714.05,51777.91,51777.91,51586.33,-63.86,SL,BankNifty|1m|S06_ORB
2026-03-23 13:38:00+05:30,2026-03-23 13:44:00+05:30,SHORT,51749.8,51816.24,51816.24,51616.92,-66.44,SL,BankNifty|1m|S06_ORB
2026-03-23 13:46:00+05:30,2026-03-23 13:51:00+05:30,SHORT,51833.05,51892.68,51892.68,51713.8,-59.62,SL,BankNifty|1m|S06_ORB
2026-03-23 13:53:00+05:30,2026-03-23 14:02:00+05:30,SHORT,51871.7,51940.52,51940.52,51734.07,-68.82,SL,BankNifty|1m|S06_ORB
2026-03-23 14:04:00+05:30,2026-03-23 14:30:00+05:30,SHORT,51971.75,51824.08,52045.59,51824.08,147.67,TP,BankNifty|1m|S06_ORB
2026-03-23 14:32:00+05:30,2026-03-23 14:33:00+05:30,SHORT,51716.55,51571.19,51789.23,51571.19,145.36,TP,BankNifty|1m|S06_ORB
2026-03-23 14:35:00+05:30,2026-03-23 14:36:00+05:30,SHORT,51584.25,51673.38,51673.38,51406.0,-89.13,SL,BankNifty|1m|S06_ORB
2026-03-23 14:38:00+05:30,2026-03-23 14:51:00+05:30,SHORT,51749.25,51854.37,51854.37,51539.01,-105.12,SL,BankNifty|1m|S06_ORB
2026-03-23 14:53:00+05:30,2026-03-23 14:58:00+05:30,SHORT,51839.85,51677.12,51921.21,51677.12,162.73,TP,BankNifty|1m|S06_ORB
2026-03-23 15:00:00+05:30,2026-03-23 15:04:00+05:30,SHORT,51694.4,51540.5,51771.35,51540.5,153.9,TP,BankNifty|1m|S06_ORB
2026-03-23 15:06:00+05:30,2026-03-23 15:10:00+05:30,SHORT,51473.55,51555.5,51555.5,51309.65,-81.95,SL,BankNifty|1m|S06_ORB
2026-03-23 15:12:00+05:30,2026-03-23 15:15:00+05:30,SHORT,51537.6,51372.95,51619.92,51372.95,164.65,TP,BankNifty|1m|S06_ORB
2026-03-23 15:17:00+05:30,2026-03-23 15:29:00+05:30,SHORT,51378.8,51456.26,51456.26,51223.88,-77.46,SL,BankNifty|1m|S06_ORB
2026-03-24 09:28:00+05:30,2026-03-24 09:39:00+05:30,LONG,52450.4,52236.16,52236.16,52878.88,-214.24,SL,BankNifty|1m|S06_ORB
2026-03-24 09:46:00+05:30,2026-03-24 09:55:00+05:30,SHORT,52126.1,52224.35,52224.35,51929.6,-98.25,SL,BankNifty|1m|S06_ORB
2026-03-24 10:02:00+05:30,2026-03-24 10:23:00+05:30,SHORT,52141.9,52224.16,52224.16,51977.37,-82.26,SL,BankNifty|1m|S06_ORB
2026-03-24 10:27:00+05:30,2026-03-24 10:34:00+05:30,SHORT,52149.7,51997.04,52226.03,51997.04,152.66,TP,BankNifty|1m|S06_ORB
2026-03-24 10:36:00+05:30,2026-03-24 10:48:00+05:30,SHORT,51960.65,52022.84,52022.84,51836.27,-62.19,SL,BankNifty|1m|S06_ORB
2026-03-24 10:50:00+05:30,2026-03-24 10:58:00+05:30,SHORT,52034.75,51868.55,52117.85,51868.55,166.2,TP,BankNifty|1m|S06_ORB
2026-03-24 11:00:00+05:30,2026-03-24 11:04:00+05:30,SHORT,51846.6,51928.91,51928.91,51681.97,-82.31,SL,BankNifty|1m|S06_ORB
2026-03-24 11:06:00+05:30,2026-03-24 11:11:00+05:30,SHORT,51945.75,52007.27,52007.27,51822.72,-61.52,SL,BankNifty|1m|S06_ORB
2026-03-24 11:13:00+05:30,2026-03-24 11:18:00+05:30,SHORT,51981.85,52043.49,52043.49,51858.57,-61.64,SL,BankNifty|1m|S06_ORB
2026-03-24 11:20:00+05:30,2026-03-24 11:46:00+05:30,SHORT,52049.85,52114.07,52114.07,51921.41,-64.22,SL,BankNifty|1m|S06_ORB
2026-03-24 11:48:00+05:30,2026-03-24 11:56:00+05:30,SHORT,52086.6,52145.59,52145.59,51968.62,-58.99,SL,BankNifty|1m|S06_ORB
2026-03-24 11:59:00+05:30,2026-03-24 12:13:00+05:30,SHORT,52140.85,52005.45,52208.55,52005.45,135.4,TP,BankNifty|1m|S06_ORB
2026-03-24 12:15:00+05:30,2026-03-24 12:22:00+05:30,SHORT,51994.8,52043.59,52043.59,51897.23,-48.79,SL,BankNifty|1m|S06_ORB
2026-03-24 12:35:00+05:30,2026-03-24 12:47:00+05:30,LONG,52470.4,52725.87,52342.66,52725.87,255.47,TP,BankNifty|1m|S06_ORB
