strategy,trades,win_rate,net_pnl,avg_win,avg_loss,profit_factor,max_dd
Nifty|15m|S27_CounterBearTrap,4,25.0%,209.51,290.89,-92.86,1.57,78.14
Nifty|15m|S28_VReversal,42,9.5%,-288.77,220.6,-78.13,0.49,675.77
Nifty|15m|S29_PowerCandlePullback,3,0.0%,-163.55,0.0,-99.15,0.0,131.33
Nifty|15m|S30_3EMA,22,27.3%,699.84,155.63,-89.01,2.1,119.08
BankNifty|1m|S01_OpenDrive,2,100.0%,463.94,231.97,0.0,∞,0.0
BankNifty|1m|S02_MorningStar,80,26.2%,-615.97,130.81,-63.04,0.78,1000.67
BankNifty|1m|S03_EveningStar,78,32.1%,235.99,143.92,-65.14,1.08,830.15
BankNifty|1m|S04_CPR_Breakout,67,35.8%,547.54,137.33,-66.86,1.17,853.67
BankNifty|1m|S05_SupplyZoneBreakout,89,33.7%,296.2,131.47,-65.13,1.06,861.72
BankNifty|1m|S06_ORB,102,35.3%,981.6,139.16,-63.94,1.22,599.52
BankNifty|1m|S07_DayHighBreakout,27,40.7%,409.73,147.51,-82.54,1.31,697.36
BankNifty|1m|S08_GapFilling,3,0.0%,-393.08,0.0,-131.03,0.0,231.97
BankNifty|1m|S09_MATrendFollow,43,27.9%,-505.69,109.72,-63.8,0.69,975.21
BankNifty|1m|S10_PPT,117,31.6%,93.07,135.69,-64.47,1.0,1108.84
BankNifty|1m|S11_GCR,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|1m|S12_RCR,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|1m|S13_MPattern,92,37.0%,781.29,128.95,-65.22,1.2,875.97
BankNifty|1m|S14_WPattern,106,30.2%,-457.32,122.53,-61.5,0.89,1155.32
BankNifty|1m|S15_ODR,1,0.0%,-161.11,0.0,-161.11,0.0,0.0
BankNifty|1m|S16_GCBO,74,35.1%,625.49,129.79,-62.12,1.18,552.77
BankNifty|1m|S17_RCBO,67,28.4%,-410.35,143.04,-65.37,0.88,1135.69
BankNifty|1m|S18_VirginCPR,102,34.3%,574.94,137.89,-63.9,1.14,643.86
BankNifty|1m|S19_GapDownRejection,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|1m|S20_GapUpRejection,1,0.0%,-161.11,0.0,-161.11,0.0,0.0
BankNifty|1m|S21_CPRReversal,107,28.0%,-868.35,124.63,-61.71,0.81,1177.87
BankNifty|1m|S22_ExtremeCandle,53,35.8%,548.36,138.34,-66.91,1.23,422.05
BankNifty|1m|S23_SupplyZoneReversal,105,32.4%,128.71,135.85,-65.79,1.02,1062.74
BankNifty|1m|S24_GapBorderRejection,125,31.2%,7.99,134.49,-64.84,0.96,1167.94
BankNifty|1m|S26_CounterBullTrap,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|1m|S27_CounterBearTrap,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|1m|S28_VReversal,64,31.2%,103.63,145.87,-67.38,1.01,1197.3
BankNifty|1m|S29_PowerCandlePullback,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|1m|S30_3EMA,49,26.5%,-510.41,118.8,-61.33,0.72,1144.94
BankNifty|2m|S01_OpenDrive,8,62.5%,1001.79,306.07,-176.19,2.9,449.61
BankNifty|2m|S02_MorningStar,302,27.5%,-2081.73,159.96,-78.52,0.84,2877.23
BankNifty|2m|S03_EveningStar,285,34.4%,2728.21,153.6,-81.78,1.13,1704.44
BankNifty|2m|S04_CPR_Breakout,261,30.3%,-725.03,156.94,-78.59,0.93,1569.99
BankNifty|2m|S05_SupplyZoneBreakout,298,33.6%,1925.74,157.95,-79.62,1.11,2124.29
BankNifty|2m|S06_ORB,290,35.2%,1999.08,151.66,-80.88,1.12,1724.42
BankNifty|2m|S07_DayHighBreakout,128,32.8%,-554.41,155.7,-89.66,0.9,2393.86
BankNifty|2m|S08_GapFilling,16,12.5%,-1990.8,246.86,-177.47,0.2,2073.66
BankNifty|2m|S09_MATrendFollow,165,33.9%,1060.07,153.79,-74.41,1.15,1217.32
BankNifty|2m|S10_PPT,362,30.9%,1211.39,160.16,-79.96,1.02,2178.79
BankNifty|2m|S11_GCR,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|2m|S12_RCR,0,N/A,0.0,0.0,0.0,N/A,0.0
BankNifty|2m|S13_MPattern,315,34.9%,2105.53,141.63,-75.0,1.11,1535.51
BankNifty|2m|S14_WPattern,345,27.0%,-2591.05,153.78,-76.54,0.82,3403.91
BankNifty|2m|S15_ODR,12,8.3%,-1569.45,161.82,-157.39,0.09,1731.27
BankNifty|2m|S16_GCBO,252,32.5%,661.07,156.63,-79.87,1.04,1380.14
BankNifty|2m|S17_RCBO,255,27.8%,-1666.55,157.22,-76.04,0.84,3002.92
BankNifty|2m|S18_VirginCPR,331,32.0%,-877.0,140.83,-79.38,0.92,3189.92
BankNifty|2m|S19_GapDownRejection,5,20.0%,-683.22,161.82,-211.26,0.19,845.04
BankNifty|2m|S20_GapUpRejection,4,0.0%,-594.36,0.0,-148.59,0.0,491.82
BankNifty|2m|S21_CPRReversal,369,29.5%,-1360.03,147.89,-74.51,0.9,1780.31
BankNifty|2m|S22_ExtremeCandle,215,31.2%,500.92,159.92,-80.38,1.0,1553.68
BankNifty|2m|S23_SupplyZoneReversal,374,28.9%,-616.44,156.26,-78.62,0.91,2729.51
BankNifty|2m|S24_GapBorderRejection,401,29.4%,-2319.23,150.65,-80.53,0.86,3659.27
BankNifty|2m|S26_CounterBullTrap,2,0.0%,-617.13,0.0,-308.56,0.0,255.02
BankNifty|2m|S27_CounterBearTrap,1,0.0%,-198.19,0.0,-198.19,0.0,0.0
BankNifty|2m|S28_VReversal,244,25.8%,-2009.13,162.29,-78.71,0.78,2451.16
BankNifty|2m|S29_PowerCandlePullback,2,0.0%,-124.89,0.0,-62.44,0.0,77.91
BankNifty|2m|S30_3EMA,170,31.8%,153.53,141.78,-73.55,1.02,1300.05
BankNifty|5m|S01_OpenDrive,9,55.6%,1612.11,481.66,-199.04,3.02,604.72
BankNifty|5m|S02_MorningStar,154,23.4%,-2014.78,258.85,-132.15,0.77,2864.73
BankNifty|5m|S03_EveningStar,145,32.4%,2625.39,252.43,-130.56,1.2,1227.47
BankNifty|5m|S04_CPR_Breakout,120,30.8%,3046.81,260.72,-126.79,1.33,1011.42
BankNifty|5m|S05_SupplyZoneBreakout,137,28.5%,2817.47,269.94,-132.21,1.21,922.15
BankNifty|5m|S06_ORB,141,27.7%,1172.6,255.05,-121.33,1.05,1800.15
